Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
1001 Spikes,Platformer game,Not available,4,Not available,,,,
1993 Shenandoah,Shmup game,Not available,4,Not available,,,,
7 Days to Die,Action Games,4,2,Not available,Split-Screen,Drop-In/Drop-Out Co-Op,,
8-Bit Armies,RTS game,7,Not available,Not available,7 Players in Co-Op,,,
8-Bit Hordes,RTS game,7,Not available,Not available,7 Players in Co-Op,,,
8-Bit Invaders,RTS game,7,Not available,Not available,7 Players in Co-Op,,,
99Vidas,Beat-Em-Up,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
A Robot Named Fight,Action/Adventure game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Abathor,Action Games,Not available,4,Not available,,,,
Accel World VS. Sword Art Online,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Ace of Seafood,Action Games,4,2,Not available,Drop-In/Drop-Out Co-Op,,,
Aces of the Luftwaffe - Squadron,Shmup game,Not available,4,Not available,,,,
ADIOS Amigos: Galactic Explorers,Action/Adventure game,Not available,4,Not available,Supports Split-Screen,,,
Aeon Drive,Platformer game,Not available,4,Not available,,,,
Aeon Drive,Platformer,Not available,4,Not available,,,
AereA,Action RPG,Not available,4,Not available,,,,
After the Fall,First Person Shooter,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
After the Fall,FPS,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Age of Mages: The last keeper,Beat-Em-Up,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Age of Wonders: Planetfall,Turn Based Strategy game,4,Not available,Not available,,,,
AIPD,Twin Stick Shooter game,Not available,4,Not available,,,,
AirMech Arena,Action RTS,4,Not available,Not available,,,,
Alienation,Twin Stick Shooter game,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Almighty: Kill Your Gods,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
ALTAIR BREAKER,Action,4,Not available,Not available,,,
