ALTAIR BREAKER,Action,4,Not available,Not available,,,
BADA Space Station,Action,4,4,Not available,Supports Split-Screen,,
Grand Theft Auto Online,Action,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Grand Theft Auto V,Action,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Minecraft Legends,Action,4,Not available,Not available,,,
MORDHAU,Action,6,Not available,Not available,6 Players in Co-Op,,
MythForce,Action,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Plunder Panic,Action,6,4,6,6 Players in Co-Op,,
SOUTH PARK: SNOW DAY!,Action,4,Not available,Not available,,,
SpiderHeck,Action,4,4,Not available,,,
The Angry 4,Action,Not available,4,Not available,Supports Split-Screen,,
Transformers: Reactivate,Action,4,Not available,Not available,,,
Very Very Valet,Action,Not available,4,Not available,,,
Babylon's Fall,Action RPG,4,Not available,Not available,,,
Dauntless,Action RPG,4,Not available,Not available,,,
Demon's Souls,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Destiny 2,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Diablo II: Resurrected,Action RPG,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Diablo IV,Action RPG,4,2,4,Supports Drop-In/Drop-Out Co-Op,,
DOLMEN,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Dungeons & Dragons: Dark Alliance,Action RPG,4,Not available,Not available,,,
Dungeons of Sundaria,Action RPG,Not available,4,Not available,Supports Split-Screen,Supports LAN or System-Link Play,
Dying Light 2 Stay Human,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Gangs of Sherwood,Action RPG,4,Not available,Not available,,,
Gotham Knights,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Granblue Fantasy: Relink,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Hammerwatch II,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Hood: Outlaws & Legends,Action RPG,4,Not available,Not available,,,
Marvel's Avengers,Action RPG,4,Not available,Not available,,,
Monster Hunter Rise,Action RPG,4,Not available,Not available,Supports LAN or System-Link Play,Supports Drop-In/Drop-Out Co-Op,
Ravenswatch,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Skeletal Avenger,Action RPG,Not available,4,Not available,,,
The Ascent,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
The Binding of Isaac: Repentance,Action RPG,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
The First Descendant,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Titan Quest II,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Warhammer 40000: Inquisitor - Martyr Ultimate Edition,Action RPG,4,2,Not available,,,
Warhammer: Chaosbane Slayer Edition,Action RPG,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
Asterix & Obelix XXXL: The Ram From Hibernia,Action/Adventure,Not available,4,Not available,,,
Cave Digger 2: Dig Harder,Action/Adventure,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Ghost of Tsushima DIRECTOR'S CUT,Action/Adventure,4,Not available,Not available,,,
Ghost of Tsushima: Legends,Action/Adventure,4,Not available,Not available,,,
No Man's Sky,Action/Adventure,32,Not available,Not available,32 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Soundfall,Action/Adventure,4,4,Not available,,,
Tribes of Midgard,Action/Adventure,10,Not available,Not available,10 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Watch Dogs: Legion,Action/Adventure,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Out of Space: Couch Edition,Action/RTS,Not available,4,Not available,,,
Human: Fall Flat,Adventure,8,2,Not available,8 Players in Co-Op,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op
Jumanji: Wild Adventures,Adventure,Not available,4,Not available,,,
The Dark Pictures Anthology - Triple Pack,Adventure,2,5,Not available,5 Players in Co-Op,,
The Dark Pictures Anthology: House of Ashes,Adventure,2,5,Not available,5 Players in Co-Op,,
The Dark Pictures Anthology: The Devil in Me,Adventure,2,5,Not available,5 Players in Co-Op,,
The Quarry,Adventure,8,8,Not available,8 Players in Co-Op,,
Cannibal Cuisine,Arcade,4,4,Not available,,,
Overcooked! All You Can Eat!,Arcade,4,4,4,,,
Sven - Completely Screwed,Arcade,Not available,4,Not available,Supports Split-Screen,,
Eight Dragons,Beat-Em-Up,Not available,4,Not available,,,
Jitsu Squad,Beat-Em-Up,Not available,4,Not available,,,
LEGO Brawls,Beat-Em-Up,4,Not available,Not available,,,
Mayhem Brawler,Beat-Em-Up,Not available,4,Not available,,,
NINJA KIDZ: TIME MASTERS,Beat-Em-Up,Not available,4,Not available,,,
PixelJunk Scrappers Deluxe,Beat-Em-Up,4,4,4,,,
River City Girls 2,Beat-Em-Up,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Shing!,Beat-Em-Up,4,4,4,Supports Drop-In/Drop-Out Co-Op,,
Teenage Mutant Ninja Turtles: Shredder's Revenge,Beat-Em-Up,6,4,6,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Toxic Crusaders,Beat-Em-Up,Not available,4,Not available,,,
Arcade Paradise,Compilations,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Borderlands Collection: Pandora's Box,Compilations,4,4,4,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Compilations,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
